,,,,,,,,,,,,,,,,,,,,,,,,,,,Prereq's,150 min. 
WFM Ent,QM 
Trans bot (speech),Non Speech Customers,Rec +
voice capture,Saas has Voice Capture,includes Trans,requires trans,requires trans
"Northland Business Systems, Inc.",Pennington County Sheriff,Under 150,,21,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,,,0,,,,,,,,,0
Evolve IP LLC,Cenikor Foundation,Under 150,,21,SaaS,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,County of Montgomery,Under 150,,20,Term,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,2400,2400
Avaya LLC,Providence Health Centralia,Under 150,,20,Perpetual,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,2400,2400
Avaya LLC,Boston Mutual Life Insurance,Under 150,,20,Term,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,2400,2400
Avaya LLC,Cornerstone Medical Care,Under 150,,20,Perpetual,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,2400,2400
Avaya LLC,WSDOT Dayton TMC (Washington State Department of Transportation),Under 150,,20,Perpetual,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,2400,2400
Avaya LLC,CSX Transportation Inc.,Under 150,,20,SaaS,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Nova Southeastern University,Under 150,,20,SaaS,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"ConvergeOne, Inc",Sammons Financial Group,Under 150,,20,Perpetual,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,2400,2400
Connex Telecommunications Inc.,Rogers Communications Canada Inc.,Under 150,,20,Term,0,10,0,10,0,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,,,0,2400,,,,,,,1200,3600
Carousel Industries of North America,Southern Ohio Medical Center,Under 150,,20,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,,,0,,,,,,,,,0
BT Americas Inc.,Tudor Investment Corporation,Under 150,,20,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,,,0,,,,,,,,,0
Sound Communications Inc.,IndyGo,Under 150,,20,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,,,0,,,,,,,,,0
"BEI Holdings, Inc. (DBA: Business Electronics)",Mamaroneck Village Police Department,Under 150,,20,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,,,0,,,,,,,,,0
"Alliance Technology Group, LLC",Bureau of The Fiscal Service,Under 150,,20,Perpetual,0,20,20,20,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,,,4800,4800,2400,,,,,,,12000
"ISI Telemanagement Solutions, LLC","Portsmouth Mission Alliance, LLC",Under 150,,20,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Madison Memorial Hospital,Under 150,,20,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Bingham Memorial Hospital,Under 150,,20,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Tristate Capital Bank,Under 150,,20,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,,,0,,,,,,,,,0
Vonage Business Limited,Radiant Credit Union fka SunState Federal Credit Union,Under 150,,20,SaaS,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"BEI Holdings, Inc. (DBA: Business Electronics)",Cromwell Police Department,Under 150,,19,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Troy Police Department,Under 150,,19,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,,,0,,,,,,,,,0
BusComm Incorporated,Troy Police Department,Under 150,,19,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,,,0,,,,,,,,,0
"Motorola Solutions, Inc.",Albuquerque Public Schools,Under 150,,19,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,,,0,,,,,,,,,0
Avaya LLC,North York General Hospital,Under 150,,18,SaaS,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",York Traditions Bank,Under 150,,18,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,,,0,,,,,,,,,0
Meridian IT Inc.,Rochester Institute of Technology,Under 150,,18,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Martin County,Under 150,,18,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,,,0,,,,,,,,,0
Sound Communications Inc.,County of Crittenden,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
Kova Corporation,Clinton County Emergency Services,Under 150,,17,Perpetual,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,120,120
"BEI Holdings, Inc. (DBA: Business Electronics)",Brookfield Police Department,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
"World Wide Technology, Inc.", United States Central Command,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC","The Palace, Inc",Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",County of Lackawanna Transit System,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,,,0,,,,,,,,,0
Vista Com,"BOKF, NA",Under 150,,17,Perpetual,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,2040,2040
May Day Communications Inc.,Amityville Police,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
May Day Communications Inc.,St. Johns University,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
May Day Communications Inc.,Huntington Fire District,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
May Day Communications Inc.,Adelphi University,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
May Day Communications Inc.,Jericho Fire District,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
"Goserco, Inc.",AT&T Fortuna Police Department,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
"Goserco, Inc.",AT&T  Marysville Police Department,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Washburn County Sheriff,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Otter Tail County 911,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Antelope County Sheriff,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Aitkin County Sheriff,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Pope County Sheriff,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Burt County Sheriff,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Charleston MO Department of Public Safety,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",County of Chase,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",County of Redwood,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Winona County Sheriff,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Douglas County Sheriff,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Faribault County PD,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Missouri State University PD,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Nicollet County,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",St. Louis University,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Thayer County Sheriff,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",LeSueur County,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
BusComm Incorporated,Charleston MO Department of Public Safety,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
BusComm Incorporated,St. Louis University,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
BusComm Incorporated,Missouri State University PD,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
"Capture Technologies, Inc.",Richmond CA Police Department,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
"Capture Technologies, Inc.",City College of San Francisco,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
"Capture Technologies, Inc.",Lodi Police Department,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
"Capture Technologies, Inc.",Amador County Sheriff Department,Under 150,,17,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Commodity Futures,Under 150,,16,Perpetual,0,15,16,7,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"BEI Holdings, Inc. (DBA: Business Electronics)",North Haven Police Department,Under 150,,16,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Amanyara Resort,Under 150,,16,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",North Arkansas Regional Medical Center,Under 150,,16,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,,,0,,,,,,,,,0
Business Communications Inc.,"KLLM Transport Services, LLC",Under 150,,16,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,,,0,,,,,,,,,0
"Motorola Solutions, Inc.",McLennan Community College,Under 150,,16,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,,,0,,,,,,,,,0
Carousel Industries of North America,Centerbridge Partners,Under 150,,15,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Fresh Direct,Under 150,,15,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Fillmore County Sheriff,Under 150,,15,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,,,0,,,,,,,,,0
Arrias Technical Solutions Inc.,City Of St. John's,Under 150,,15,SaaS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,,,0,,,,,,,,,0
"BEI Holdings, Inc. (DBA: Business Electronics)","Pfizer, Inc",Under 150,,14,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,,,0,,,,,,,,,0
"BEI Holdings, Inc. (DBA: Business Electronics)",Stratford Police Department,Under 150,,14,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,,,0,,,,,,,,,0
"BEI Holdings, Inc. (DBA: Business Electronics)",Granby Police Department,Under 150,,14,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,,,0,,,,,,,,,0
"IPC Systems, Inc.",LANDESBANK BADEN-WURTTEMBERG,Under 150,,14,Perpetual,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,1680,1680
"Northland Business Systems, Inc.",Stearns County Sheriff,Under 150,,14,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,,,0,,,,,,,,,0
"Motorola Solutions, Inc.",Douglas AZ Police Department,Under 150,,14,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,,,0,,,,,,,,,0
"BEI Holdings, Inc. (DBA: Business Electronics)",Coventry Police Department,Under 150,,13,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,,,0,,,,,,,,,0
"BEI Holdings, Inc. (DBA: Business Electronics)",University of Hartford,Under 150,,13,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,,,0,,,,,,,,,0
"BEI Holdings, Inc. (DBA: Business Electronics)",Ardsley Village Police Department,Under 150,,13,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,,,0,,,,,,,,,0
"IPC Systems, Inc.",Detewe,Under 150,,13,Perpetual,0,12,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,,,0,,,,,,,,1440,1440
"World Wide Technology, Inc.",LA Air Force Base,Under 150,,13,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",University of New Mexico Sandoval Regional Medical Center,Under 150,,13,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,,,0,,,,,,,,,0
May Day Communications Inc.,State University of New York,Under 150,,13,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Stevens County,Under 150,,13,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Cass County Sheriff,Under 150,,13,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Dodge County Sheriff,Under 150,,13,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Grant County Sheriff,Under 150,,13,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,,,0,,,,,,,,,0
Avaya LLC,General Dynamics,Under 150,,12,Term,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,1440,1440
"BEI Holdings, Inc. (DBA: Business Electronics)",Irvington Police Department,Under 150,,12,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Walker Jones,Under 150,,12,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Kansas City University,Under 150,,12,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Imperial Tobacco Group Brands LLC,Under 150,,11,Term,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,1320,1320
"ConvergeOne, Inc",Allianz Life Insurance Company of North America,Under 150,,11,Term,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"Cisco Systems, Inc.",Rocky Mountain Poison & Drug Center,Under 150,,11,Perpetual,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2640,,,,,,,,1320,3960
Sound Communications Inc.,"Autozone, Inc.",Under 150,,11,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,,,0,,,,,,,,,0
Kova Corporation,Montgomery Co Transit Services,Under 150,,11,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,,,0,,,,,,,,,0
Kova Corporation,North Miami Beach Police Department,Under 150,,11,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,,,0,,,,,,,,,0
"BEI Holdings, Inc. (DBA: Business Electronics)",East Chester Police Department,Under 150,,11,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,,,0,,,,,,,,,0
"BEI Holdings, Inc. (DBA: Business Electronics)",Groton Police Department,Under 150,,11,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Midland States Bank,Under 150,,11,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Corpus Christi Regional Transportation Authority,Under 150,,11,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Peoples Bank of China formerly Rosewood Investment,Under 150,,11,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,,,0,,,,,,,,,0
"Social Edge Consulting, LLC",Newark Element14,Under 150,,11,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,,,0,,,,,,,,,0
"Motorola Solutions, Inc.",School Board Of Palm Beach County,Under 150,,11,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,,,0,,,,,,,,,0
Avaya LLC,CTMF IT DATA CENTER,Under 150,,10,Perpetual,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Burlington Bristol Bridge,Under 150,,10,Perpetual,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,1200,1200
Avaya LLC,LVCD Corporate,Under 150,,10,Term,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,1200,1200
Avaya LLC,Jet Delivery,Under 150,,10,Term,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,1200,1200
Group Elite Communications Inc.,"Millennium Process Group, Inc.",Under 150,,10,Term,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,2400,1200,,,,,,,3600
"IPC Systems, Inc.",OSTERTAG DETEWE HOLDING GMBH,Under 150,,10,Perpetual,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,1200,1200
"ISI Telemanagement Solutions, LLC",BC Securities,Under 150,,10,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Cherry County Hospital,Under 150,,10,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Industrial and Commercial Bank of China LTD NY Branch,Under 150,,10,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Rush University Medical Center,Under 150,,10,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,,,0,,,,,,,,,0
Vista Com,University of Texas of the Permian Basin,Under 150,,10,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,,,0,,,,,,,,,0
May Day Communications Inc.,State University of New York Maritime College,Under 150,,10,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,,,0,,,,,,,,,0
"Motorola Solutions, Inc.",University of Texas of the Permian Basin,Under 150,,10,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,,,0,,,,,,,,,0
Custodia Technology Americas Inc.,Bank of Nova Scotia,Under 150,,10,Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Florida Department of Juvenile Justice,Under 150,,9,Term,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,1080,1080
Sound Communications Inc.,Clarion Hospital,Under 150,,9,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,,,0,,,,,,,,,0
"BEI Holdings, Inc. (DBA: Business Electronics)",City of Plattsburgh,Under 150,,9,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,,,0,,,,,,,,,0
"BEI Holdings, Inc. (DBA: Business Electronics)",MILFORD POLICE DEPARTMENT,Under 150,,9,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,,,0,,,,,,,,,0
"IPC Systems, Inc.","DV TRADING, LLC",Under 150,,9,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",First National Bank & Trust Company,Under 150,,9,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Big Stone County,Under 150,,9,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Mower County Sheriff,Under 150,,9,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",SSM St. Clare Health Center,Under 150,,9,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Minnetonka Police Department,Under 150,,9,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Chester Police Department,Under 150,,9,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Phelps County Regional Medical Center,Under 150,,9,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Rockhurst University,Under 150,,9,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",SSM Saint Joseph Health Center (St. Charles),Under 150,,9,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",St. Peter Police,Under 150,,9,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",East Prairie Police Department,Under 150,,9,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Freeborn County Sheriff,Under 150,,9,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",SSM Saint Mary's Health Center,Under 150,,9,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",UMSL - Police Department,Under 150,,9,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,,,0,,,,,,,,,0
BusComm Incorporated,SSM Saint Mary's Health Center,Under 150,,9,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,,,0,,,,,,,,,0
BusComm Incorporated,Phelps County Regional Medical Center,Under 150,,9,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,,,0,,,,,,,,,0
