account,full_name,title,linkedin_url
Centene,Darrell Heacox,Vice President Operations,https://www.linkedin.com/in/darrell-heacox-63863b46/
Centene,Katy Makram,"Staff Vice President, Operations",https://www.linkedin.com/in/katy-makram/
Centene,Cheryl Cizler,"VP Operations, Performance Monitoring",https://www.linkedin.com/in/cheryl-cizler-34851687/
Centene,Corina B.,Vice President Utilization Management,https://www.linkedin.com/in/corina-b-2a86a4223/
Centene,Agnes P.,Vice President Operations,https://www.linkedin.com/in/agnes-ponce/
Centene,Angie Hanford-Milhous,"Vice President, Operations",https://www.linkedin.com/in/angie-hanford-milhous-1003422/
Centene,Corey Shaw,"Senior Director, Claims Experience",https://www.linkedin.com/in/corey-shaw-b53821a/
Centene,Amanda Crannell,"Director, Utilization Management",https://www.linkedin.com/in/amanda-crannell-350926206/
Centene,Connie Clem,"Director, Payment Integrity",https://www.linkedin.com/in/connie-clem-bb1752105/
Centene,Chad Hosegood,Director of WFM - Claims,https://www.linkedin.com/in/chadhosegood/
Centene,Cyrus Hoseini,Vice President Operations  [in Star Ratings wave 1 (Lemlist)],https://www.linkedin.com/in/cyrushoseini/
Fidelity Investments,Rick Montondo,Vice President of Operations  [no LinkedIn URL yet],
Fidelity Investments,Tony Wagner,Vice President of Operations  [no LinkedIn URL yet],
Fidelity Investments,Paul Ramsdell,Vice President of Operations  [no LinkedIn URL yet],
Fidelity Investments,"Laura Jacques, MBA","VP, Trade Operations  [no LinkedIn URL yet]",
Fidelity Investments,Tim Wright,"Vice President, Operational Excellence  [no LinkedIn URL yet]",
Fidelity Investments,"Kristen Parr, MBA","Vice President, Delivery, Operations & Strategic Program Management  [no LinkedIn URL yet]",
Fidelity Investments,Jennifer Otto,"Vice President, UX Research Operations  [no LinkedIn URL yet]",
Fidelity Investments,Jim Rigney,"Vice President, Operations  [no LinkedIn URL yet]",
Fidelity Investments,Tami McLallen,"Vice President, Business Operations & Planning-Shareholder Reporting  [no LinkedIn URL yet]",
Fidelity Investments,"Joel Wolf, CPA","Vice President, Operations Control  [no LinkedIn URL yet]",
Fidelity Investments,Sasha Sopic,"VP, Operations Excellence  [no LinkedIn URL yet]",
Fidelity Investments,Jim Armstrong,Vice President Carrier Management and Data Exchange Operations  [no LinkedIn URL yet],
Fidelity Investments,Jennifer Lambert,"VP, Operational Excellence & Readiness  [no LinkedIn URL yet]",
Fidelity Investments,Michelle Best,"VP, Middle Office Operations | Prime Services, Securities Finance, Commission Mgmt & New Accounts  [no LinkedIn URL yet]",
Fidelity Investments,Mark Lindeman,"Vice President, Risk Operations  [no LinkedIn URL yet]",
Fidelity Investments,Jenny Falhaber,"Vice President, Fiduciary Product Operations & Management  [no LinkedIn URL yet]",
Fidelity Investments,"Bernard Kelly, CAIA, CFP®,",Vice President of Risk Operations  [no LinkedIn URL yet],
Fidelity Investments,Peter Belanger,VP Operations Effectiveness  [no LinkedIn URL yet],
Fidelity Investments,Chris Bouvin,Vice President - Inbound Operations  [no LinkedIn URL yet],
Fidelity Investments,Patrick Moore,VP Business Operations  [no LinkedIn URL yet],
Fidelity Investments,Daryl Ashley,"VP, Business Operations  [no LinkedIn URL yet]",
Fidelity Investments,Ashlee Sullivan,VP Non-Qualified Operations & Support  [no LinkedIn URL yet],
Fidelity Investments,Miguel Canizares,"Vice President, Equity Investment Operations  [no LinkedIn URL yet]",
Fidelity Investments,Teresa Mulligan,"Vice President, Strategic Operations  [no LinkedIn URL yet]",
Fidelity Investments,Christine Gracon Millett,"VP, Data Operations  [no LinkedIn URL yet]",
Fidelity Investments,Frances Ly,"VP, Business Operations Leader  [no LinkedIn URL yet]",
Fidelity Investments,Todd DiPietro,"VP, Accounting Operations  [no LinkedIn URL yet]",
Fidelity Investments,Chirant Parmar,Vice President of Accounting - VC Fund Administration  [no LinkedIn URL yet],
Fidelity Investments,Chris Lewis,Vice President Business Process Management  [no LinkedIn URL yet],
Fidelity Investments,Melissa (Spas) Varone,"Vice President, Business Operations & Strategic Initiatives  [no LinkedIn URL yet]",
Fidelity Investments,Lauren Brown,Vice President PBM Operations  [no LinkedIn URL yet],
Fidelity Investments,Gregg Prebles,Vice President -- Inbound Operations  [no LinkedIn URL yet],
Fidelity Investments,Matthew Nadile,Vice President of Communication Operations  [no LinkedIn URL yet],
Fidelity Investments,Jeanna Jefferson,"Vice President, HSA/RA Operations & COE  [no LinkedIn URL yet]",
Fidelity Investments,David Marchetto,Operations VP  [no LinkedIn URL yet],
Fidelity Investments,Lisa Wagner,"Vice President, Financial Operations Cash Management & Control  [no LinkedIn URL yet]",
Fidelity Investments,David Perron,VP Computer Operations - ISO  [no LinkedIn URL yet],
Fidelity Investments,Jeff Cook,Vice President Operations  [no LinkedIn URL yet],
Fidelity Investments,Bruce Stachura,VP Process Improvement  [no LinkedIn URL yet],
Fidelity Investments,Robert Sciba,VP Operations  [no LinkedIn URL yet],
Fidelity Investments,Lauren Pavlech,"Vice President, Money In / Non-Qualified Plan Operations  [no LinkedIn URL yet]",
Fidelity Investments,Heather Shipley,"Vice President, TEM Planning & Advice Operations  [no LinkedIn URL yet]",
Fidelity Investments,Joseph Kroczynski,Vice President Operations  [no LinkedIn URL yet],
Fidelity Investments,"Ralph Nee, CDCDP, CDCMP, CDCAP, CDCEP","Director, Data Center Operations  [no LinkedIn URL yet]",
Fidelity Investments,Stephen Ketchum,Senior Director Inbound Operations  [no LinkedIn URL yet],
Fidelity Investments,Sean Jones,Director of Operations  [no LinkedIn URL yet],
Fidelity Investments,Divya Poduval,Director - Client Project Delivery - Health Operations  [no LinkedIn URL yet],
Fidelity Investments,Kathy Malone Donovan,"Director, HR Operations  [no LinkedIn URL yet]",
