contract_id,parent_org,marketing_name,members,overall_star_2026,cs_star,clin_star,gross_forgone_qbp_musd,addressable_forgone_qbp_musd,addressable_pct,confidence,primary_sources
H4623,Humana Inc.,Humana,11052,3.5,3.5,3.4,5.4,2.3,0.42,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H0712,Centene Corporation,Wellcare,7196,3.5,3.1,3.5,3.5,2.2,0.64,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H6851,"BMC Health System, Inc.",WellSense Health Plan,4271,3,3.0,3.0,4.4,2.2,0.51,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H7149,CVS Health Corporation,Aetna Medicare,9347,3.5,3.5,3.5,4.6,2.2,0.48,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER
H7284,Humana Inc.,Humana,11709,3.5,3.5,3.3,5.7,2.2,0.39,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H2117,Centene Corporation,Wellcare,5247,3,3.1,2.6,5.4,2.1,0.40,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H1664,Centene Corporation,Wellcare By Allwell,4067,3,2.8,2.8,4.2,2.0,0.49,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H3928,CVS Health Corporation,Aetna Medicare,4929,3,3.4,3.0,5.1,2.0,0.39,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER
H5580,Mercy Care,Mercy Care Advantage,10852,3,3.6,2.3,11.2,2.0,0.18,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H6348,Centene Corporation,Wellcare By Allwell,6373,3,3.4,2.7,6.5,2.0,0.31,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H3240,"Elevance Health, Inc.",Wellpoint,14405,3,3.8,2.5,14.8,1.9,0.13,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H6399,CVS Health Corporation,Aetna Better Health of New Jersey,7170,3,3.5,2.5,7.4,1.9,0.26,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H3080,"Devoted Health, Inc.",Devoted Health,9640,3.5,3.6,3.4,4.7,1.8,0.39,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H4869,Gold Kidney Health Plan,Gold Kidney Health Plan,4844,3,3.3,2.6,5.0,1.8,0.35,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5989,"Healthfirst, Inc.",Healthfirst Medicare Plan,13716,3.5,3.6,3.0,6.7,1.8,0.28,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H7518,Centene Corporation,Wellcare,3402,3,2.7,2.7,3.5,1.8,0.52,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H9888,"Devoted Health, Inc.",Devoted Health,15557,3.5,3.7,3.1,7.6,1.8,0.24,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H0907,"Elevance Health, Inc.",Wellpoint,4260,3,3.2,2.8,4.4,1.7,0.39,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H8385,Sanford Health,Align powered by Sanford Health Plan,9033,3.5,3.8,3.7,4.4,1.7,0.38,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER
H2915,Centene Corporation,Wellcare By Allwell,14783,3.5,3.7,3.1,7.2,1.6,0.22,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H3499,Centene Corporation,Wellcare By Allwell,4065,3,3.3,2.8,4.2,1.6,0.37,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H0107,Health Care Service Corporation,Blue Cross and Blue Shield of Montana,101119,3.5,4.0,3.0,49.3,1.5,0.03,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H1112,Centene Corporation,Wellcare,27133,3.5,3.8,2.8,13.2,1.5,0.12,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H1225,Johns Hopkins Healthcare LLC,Johns Hopkins Advantage MD,7639,3.5,3.6,3.4,3.7,1.5,0.41,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H1607,"Elevance Health, Inc.",Anthem Blue Cross and Blue Shield,8192,3.5,3.7,3.5,4.0,1.5,0.38,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H2174,Centene Corporation,Wellcare By Trillium,4460,3,3.3,2.5,4.6,1.5,0.33,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H3975,Centene Corporation,Wellcare,3810,3,3.2,2.7,3.9,1.5,0.38,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H4346,"Elevance Health, Inc.",Anthem Blue Cross and Blue Shield,6932,3.5,3.1,2.9,3.4,1.5,0.45,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5209,"Molina Healthcare, Inc.",My Choice Wisconsin,2671,3,2.9,3.2,2.7,1.5,0.56,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H9615,"MVP Health Care, Inc.",MVP HEALTH CARE,32070,3.5,3.9,3.1,15.6,1.5,0.10,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H2463,Humana Inc.,Humana,4384,3,3.5,3.0,4.5,1.4,0.32,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H4835,CVS Health Corporation,Aetna Medicare,3608,3,3.4,3.0,3.7,1.4,0.38,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H4909,"Elevance Health, Inc.",Anthem Blue Cross and Blue Shield,10970,3.5,3.6,2.9,5.3,1.4,0.25,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5991,"EmblemHealth, Inc.",EmblemHealth,2366,3,2.7,2.9,2.4,1.4,0.56,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
R1532,Humana Inc.,Humana,3822,2.5,3.2,2.6,3.9,1.4,0.36,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
