account_name,vertical,industry_raw,bo_priority,primary_function,product_angle,personas,contact_cap,universe,install_base,fo_risk_flag,owner_cleared,total_licenses,active_customer_date,source,sourced_date
Kaiser SCal Clinical,Healthcare Provider,Healthcare Provider,2,RCM / Medical coding / Patient scheduling / Billing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,5216,9/15/2000,SF Active Customers Jul10,2026-07-13
Kaiser Washington,Healthcare Provider,Healthcare Provider,2,RCM / Medical coding / Patient scheduling / Billing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,1300,5/6/2022,SF Active Customers Jul10,2026-07-13
McKesson,Healthcare Provider,Healthcare Provider,2,RCM / Medical coding / Patient scheduling / Billing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,636,3/19/2014,SF Active Customers Jul10,2026-07-13
McKesson Medical Surgical,Healthcare Provider,Healthcare Provider,2,RCM / Medical coding / Patient scheduling / Billing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,625,,SF Active Customers Jul10,2026-07-13
Vibrant Emotional Health,Healthcare Provider,Healthcare Provider,2,RCM / Medical coding / Patient scheduling / Billing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,,4/5/2024,SF Active Customers Jul10,2026-07-13
WellMed Medical,Healthcare Provider,Healthcare_Provider,2,RCM / Medical coding / Patient scheduling / Billing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,,8/29/2016,SF Active Customers Jul10,2026-07-13
AT&T Enterprise Group,Telco / Cable,Telco/Cable,2,Billing / Order & service processing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,28024,12/23/2005,SF Active Customers Jul10,2026-07-13
AT&T Entertainment Group,Telco / Cable,Telco_Cable,2,Billing / Order & service processing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,,12/31/2003,SF Active Customers Jul10,2026-07-13
Charter Communications,Telco / Cable,Telco/Cable,2,Billing / Order & service processing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,,8/14/2023,SF Active Customers Jul10,2026-07-13
Cox Communications,Telco / Cable,Telco/Cable,2,Billing / Order & service processing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,3183,12/18/2012,SF Active Customers Jul10,2026-07-13
Cox Enterprises Inc,Telco / Cable,Cable,2,Billing / Order & service processing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,,12/18/2012,SF Active Customers Jul10,2026-07-13
